Paso,Posicion_X,Posicion_Y
885,987.979,-164.663
886,990.211,-165.035
887,992.447,-165.408
888,994.684,-165.781
889,996.925,-166.154
890,999.167,-166.528
891,1001.41,-166.902
892,1003.66,-167.277
893,1005.91,-167.652
894,1008.16,-168.027
895,1010.42,-168.403
896,1012.68,-168.78
897,1014.94,-169.156
898,1017.2,-169.533
899,1019.47,-169.911
900,1021.73,-170.289
901,1024,-170.667
902,1026.28,-171.046
903,1028.55,-171.426
904,1030.83,-171.805
905,1033.11,-172.185
906,1035.39,-172.566
907,1037.68,-172.947
908,1039.97,-173.328
909,1042.26,-173.71
910,1044.55,-174.092
911,1046.85,-174.475
912,1049.15,-174.858
913,1051.45,-175.241
914,1053.75,-175.625
915,1056.06,-176.009
916,1058.36,-176.394
917,1060.68,-176.779
918,1062.99,-177.165
919,1065.3,-177.551
920,1067.62,-177.937
921,1069.94,-178.324
922,1072.27,-178.711
923,1074.59,-179.099
924,1076.92,-179.487
925,1079.25,-179.876
926,1081.59,-180.264
927,1083.92,-180.654
928,1086.26,-181.044
929,1088.6,-181.434
930,1090.95,-181.824
931,1093.29,-182.215
932,1095.64,-182.607
933,1097.99,-182.999
934,1100.35,-183.391
935,1102.7,-183.784
936,1105.06,-184.177
937,1107.42,-184.57
938,1109.79,-184.964
939,1112.15,-185.359
940,1114.52,-185.753
941,1116.89,-186.149
942,1119.27,-186.544
943,1121.64,-186.94
944,1124.02,-187.337
945,1126.4,-187.734
946,1128.79,-188.131
947,1131.17,-188.529
948,1133.56,-188.927
949,1135.95,-189.326
950,1138.35,-189.725
951,1140.74,-190.124
952,1143.14,-190.524
953,1145.54,-190.924
954,1147.95,-191.325
955,1150.35,-191.726
956,1152.76,-192.127
957,1155.18,-192.529
958,1157.59,-192.932
959,1160.01,-193.334
960,1162.43,-193.738
961,1164.85,-194.141
962,1167.27,-194.545
963,1169.7,-194.95
964,1172.13,-195.355
965,1174.56,-195.76
966,1176.99,-196.166
967,1179.43,-196.572
968,1181.87,-196.978
969,1184.31,-197.385
970,1186.76,-197.793
971,1189.2,-198.201
972,1191.65,-198.609
973,1194.1,-199.017
974,1196.56,-199.427
975,1199.02,-199.836
976,1201.48,-200.246
977,1203.94,-200.656
