Paso,Posicion_X,Posicion_Y,Velocidad_X,Velocidad_Y
470,-104.125,12.0315,-54.45,-1.7
471,-104.671,12.0144,-54.585,-1.71
472,-105.218,11.9972,-54.72,-1.72
473,-105.766,11.9799,-54.855,-1.73
474,-106.316,11.9625,-54.99,-1.74
475,-106.867,11.945,-55.125,-1.75
476,-107.42,11.9274,-55.26,-1.76
477,-107.974,11.9097,-55.395,-1.77
478,-108.529,11.8919,-55.53,-1.78
479,-109.086,11.874,-55.665,-1.79
480,-109.644,11.856,-55.8,-1.8
481,-110.203,11.8379,-55.935,-1.81
482,-110.764,11.8197,-56.07,-1.82
483,-111.326,11.8014,-56.205,-1.83
484,-111.889,11.783,-56.34,-1.84
485,-112.454,11.7645,-56.475,-1.85
486,-113.02,11.7459,-56.61,-1.86
487,-113.588,11.7272,-56.745,-1.87
488,-114.157,11.7084,-56.88,-1.88
489,-114.727,11.6895,-57.015,-1.89
490,-115.298,11.6705,-57.15,-1.9
491,-115.871,11.6514,-57.285,-1.91
492,-116.445,11.6322,-57.42,-1.92
493,-117.021,11.6129,-57.555,-1.93
494,-117.598,11.5935,-57.69,-1.94
495,-118.176,11.574,-57.825,-1.95
496,-118.756,11.5544,-57.96,-1.96
497,-119.337,11.5347,-58.095,-1.97
498,-119.919,11.5149,-58.23,-1.98
499,-120.502,11.495,-58.365,-1.99
500,-121.087,11.475,-58.5,-2
501,-121.674,11.4549,-58.635,-2.01
502,-122.262,11.4347,-58.77,-2.02
503,-122.851,11.4144,-58.905,-2.03
504,-123.441,11.394,-59.04,-2.04
505,-124.033,11.3735,-59.175,-2.05
506,-124.626,11.3529,-59.31,-2.06
507,-125.22,11.3322,-59.445,-2.07
508,-125.816,11.3114,-59.58,-2.08
509,-126.413,11.2905,-59.715,-2.09
510,-127.012,11.2695,-59.85,-2.1
511,-127.612,11.2484,-59.985,-2.11
512,-128.213,11.2272,-60.12,-2.12
513,-128.815,11.2059,-60.255,-2.13
514,-129.419,11.1845,-60.39,-2.14
515,-130.024,11.163,-60.525,-2.15
516,-130.631,11.1414,-60.66,-2.16
517,-131.239,11.1197,-60.795,-2.17
518,-131.848,11.0979,-60.93,-2.18
519,-132.459,11.076,-61.065,-2.19
520,-133.071,11.054,-61.2,-2.2
521,-133.684,11.0319,-61.335,-2.21
522,-134.299,11.0097,-61.47,-2.22
523,-134.915,10.9874,-61.605,-2.23
524,-135.532,10.965,-61.74,-2.24
525,-136.151,10.9425,-61.875,-2.25
526,-136.771,10.9199,-62.01,-2.26
527,-137.393,10.8972,-62.145,-2.27
528,-138.016,10.8744,-62.28,-2.28
529,-138.64,10.8515,-62.415,-2.29
530,-139.265,10.8285,-62.55,-2.3
531,-139.892,10.8054,-62.685,-2.31
532,-140.52,10.7822,-62.82,-2.32
533,-141.15,10.7589,-62.955,-2.33
534,-141.781,10.7355,-63.09,-2.34
535,-142.413,10.712,-63.225,-2.35
536,-143.047,10.6884,-63.36,-2.36
537,-143.682,10.6647,-63.495,-2.37
538,-144.318,10.6409,-63.63,-2.38
539,-144.955,10.617,-63.765,-2.39
540,-145.594,10.593,-63.9,-2.4
541,-146.235,10.5689,-64.035,-2.41
542,-146.877,10.5447,-64.17,-2.42
543,-147.52,10.5204,-64.305,-2.43
544,-148.164,10.496,-64.44,-2.44
545,-148.81,10.4715,-64.575,-2.45
546,-149.457,10.4469,-64.71,-2.46
547,-150.105,10.4222,-64.845,-2.47
548,-150.755,10.3974,-64.98,-2.48
549,-151.406,10.3725,-65.115,-2.49
550,-152.059,10.3475,-65.25,-2.5
551,-152.713,10.3224,-65.385,-2.51
552,-153.368,10.2972,-65.52,-2.52
553,-154.024,10.2719,-65.655,-2.53
554,-154.682,10.2465,-65.79,-2.54
555,-155.341,10.221,-65.925,-2.55
556,-156.002,10.1954,-66.06,-2.56
557,-156.664,10.1697,-66.195,-2.57
558,-157.327,10.1439,-66.33,-2.58
559,-157.992,10.118,-66.465,-2.59
560,-158.658,10.092,-66.6,-2.6
561,-159.325,10.0659,-66.735,-2.61
562,-159.994,10.0397,-66.87,-2.62
563,-160.664,10.0134,-67.005,-2.63
564,-161.335,9.987,-67.14,-2.64
565,-162.008,9.9605,-67.275,-2.65
566,-162.682,9.9339,-67.41,-2.66
567,-163.358,9.9072,-67.545,-2.67
568,-164.035,9.8804,-67.68,-2.68
569,-164.713,9.8535,-67.815,-2.69
570,-165.392,9.8265,-67.95,-2.7
571,-166.073,9.7994,-68.085,-2.71
572,-166.755,9.7722,-68.22,-2.72
573,-167.439,9.7449,-68.355,-2.73
574,-168.124,9.7175,-68.49,-2.74
575,-168.81,9.69,-68.625,-2.75
576,-169.498,9.6624,-68.76,-2.76
577,-170.187,9.6347,-68.895,-2.77
578,-170.877,9.6069,-69.03,-2.78
579,-171.568,9.579,-69.165,-2.79
580,-172.261,9.551,-69.3,-2.8
581,-172.956,9.5229,-69.435,-2.81
582,-173.652,9.4947,-69.57,-2.82
583,-174.349,9.4664,-69.705,-2.83
584,-175.047,9.438,-69.84,-2.84
585,-175.747,9.4095,-69.975,-2.85
586,-176.448,9.3809,-70.11,-2.86
587,-177.15,9.3522,-70.245,-2.87
588,-177.854,9.3234,-70.38,-2.88
589,-178.559,9.2945,-70.515,-2.89
590,-179.266,9.2655,-70.65,-2.9
591,-179.974,9.2364,-70.785,-2.91
592,-180.683,9.2072,-70.92,-2.92
593,-181.393,9.1779,-71.055,-2.93
594,-182.105,9.1485,-71.19,-2.94
595,-182.818,9.119,-71.325,-2.95
596,-183.533,9.0894,-71.46,-2.96
597,-184.249,9.0597,-71.595,-2.97
598,-184.966,9.0299,-71.73,-2.98
599,-185.685,9,-71.865,-2.99
600,-186.405,8.97,-72,-3
601,-187.126,8.9399,-72.135,-3.01
602,-187.849,8.9097,-72.27,-3.02
603,-188.573,8.8794,-72.405,-3.03
604,-189.298,8.849,-72.54,-3.04
605,-190.025,8.8185,-72.675,-3.05
606,-190.753,8.7879,-72.81,-3.06
607,-191.483,8.7572,-72.945,-3.07
608,-192.214,8.7264,-73.08,-3.08
609,-192.946,8.6955,-73.215,-3.09
610,-193.679,8.6645,-73.35,-3.1
611,-194.414,8.6334,-73.485,-3.11
612,-195.15,8.6022,-73.62,-3.12
613,-195.888,8.5709,-73.755,-3.13
