Paso,Posicion_X,Posicion_Y,Velocidad_X,Velocidad_Y
1031,-5.6061e+13,9.34351e+12,-1.08645e+13,1.81076e+12
1032,-5.61698e+13,9.36163e+12,-1.08751e+13,1.81251e+12
1033,-5.62787e+13,9.37978e+12,-1.08856e+13,1.81427e+12
1034,-5.63876e+13,9.39794e+12,-1.08962e+13,1.81603e+12
1035,-5.64967e+13,9.41611e+12,-1.09067e+13,1.81778e+12
1036,-5.66059e+13,9.43431e+12,-1.09172e+13,1.81954e+12
1037,-5.67151e+13,9.45252e+12,-1.09278e+13,1.8213e+12
1038,-5.68245e+13,9.47075e+12,-1.09383e+13,1.82305e+12
1039,-5.6934e+13,9.489e+12,-1.09488e+13,1.82481e+12
1040,-5.70436e+13,9.50727e+12,-1.09594e+13,1.82656e+12
1041,-5.71533e+13,9.52555e+12,-1.09699e+13,1.82832e+12
1042,-5.72631e+13,9.54385e+12,-1.09805e+13,1.83008e+12
1043,-5.7373e+13,9.56217e+12,-1.0991e+13,1.83183e+12
1044,-5.7483e+13,9.5805e+12,-1.10015e+13,1.83359e+12
1045,-5.75932e+13,9.59886e+12,-1.10121e+13,1.83535e+12
1046,-5.77034e+13,9.61723e+12,-1.10226e+13,1.8371e+12
1047,-5.78137e+13,9.63562e+12,-1.10332e+13,1.83886e+12
1048,-5.79241e+13,9.65402e+12,-1.10437e+13,1.84061e+12
1049,-5.80347e+13,9.67245e+12,-1.10542e+13,1.84237e+12
1050,-5.81453e+13,9.69089e+12,-1.10648e+13,1.84413e+12
1051,-5.82561e+13,9.70935e+12,-1.10753e+13,1.84588e+12
1052,-5.83669e+13,9.72782e+12,-1.10858e+13,1.84764e+12
1053,-5.84779e+13,9.74632e+12,-1.10964e+13,1.8494e+12
1054,-5.8589e+13,9.76483e+12,-1.11069e+13,1.85115e+12
1055,-5.87002e+13,9.78336e+12,-1.11175e+13,1.85291e+12
1056,-5.88114e+13,9.80191e+12,-1.1128e+13,1.85467e+12
1057,-5.89228e+13,9.82047e+12,-1.11385e+13,1.85642e+12
1058,-5.90343e+13,9.83905e+12,-1.11491e+13,1.85818e+12
1059,-5.91459e+13,9.85765e+12,-1.11596e+13,1.85993e+12
1060,-5.92576e+13,9.87627e+12,-1.11701e+13,1.86169e+12
1061,-5.93694e+13,9.8949e+12,-1.11807e+13,1.86345e+12
1062,-5.94813e+13,9.91355e+12,-1.11912e+13,1.8652e+12
1063,-5.95933e+13,9.93222e+12,-1.12018e+13,1.86696e+12
1064,-5.97055e+13,9.95091e+12,-1.12123e+13,1.86872e+12
1065,-5.98177e+13,9.96962e+12,-1.12228e+13,1.87047e+12
1066,-5.993e+13,9.98834e+12,-1.12334e+13,1.87223e+12
1067,-6.00425e+13,1.00071e+13,-1.12439e+13,1.87398e+12
1068,-6.0155e+13,1.00258e+13,-1.12544e+13,1.87574e+12
1069,-6.02677e+13,1.00446e+13,-1.1265e+13,1.8775e+12
1070,-6.03804e+13,1.00634e+13,-1.12755e+13,1.87925e+12
1071,-6.04933e+13,1.00822e+13,-1.12861e+13,1.88101e+12
1072,-6.06062e+13,1.0101e+13,-1.12966e+13,1.88277e+12
1073,-6.07193e+13,1.01199e+13,-1.13071e+13,1.88452e+12
1074,-6.08325e+13,1.01387e+13,-1.13177e+13,1.88628e+12
1075,-6.09458e+13,1.01576e+13,-1.13282e+13,1.88804e+12
1076,-6.10592e+13,1.01765e+13,-1.13387e+13,1.88979e+12
1077,-6.11727e+13,1.01954e+13,-1.13493e+13,1.89155e+12
1078,-6.12863e+13,1.02144e+13,-1.13598e+13,1.8933e+12
1079,-6.14e+13,1.02333e+13,-1.13704e+13,1.89506e+12
1080,-6.15138e+13,1.02523e+13,-1.13809e+13,1.89682e+12
1081,-6.16277e+13,1.02713e+13,-1.13914e+13,1.89857e+12
1082,-6.17417e+13,1.02903e+13,-1.1402e+13,1.90033e+12
1083,-6.18558e+13,1.03093e+13,-1.14125e+13,1.90209e+12
1084,-6.19701e+13,1.03283e+13,-1.14231e+13,1.90384e+12
1085,-6.20844e+13,1.03474e+13,-1.14336e+13,1.9056e+12
1086,-6.21988e+13,1.03665e+13,-1.14441e+13,1.90735e+12
1087,-6.23134e+13,1.03856e+13,-1.14547e+13,1.90911e+12
1088,-6.2428e+13,1.04047e+13,-1.14652e+13,1.91087e+12
1089,-6.25428e+13,1.04238e+13,-1.14757e+13,1.91262e+12
1090,-6.26577e+13,1.04429e+13,-1.14863e+13,1.91438e+12
1091,-6.27726e+13,1.04621e+13,-1.14968e+13,1.91614e+12
1092,-6.28877e+13,1.04813e+13,-1.15074e+13,1.91789e+12
1093,-6.30029e+13,1.05005e+13,-1.15179e+13,1.91965e+12
1094,-6.31182e+13,1.05197e+13,-1.15284e+13,1.92141e+12
1095,-6.32335e+13,1.05389e+13,-1.1539e+13,1.92316e+12
1096,-6.3349e+13,1.05582e+13,-1.15495e+13,1.92492e+12
1097,-6.34646e+13,1.05774e+13,-1.156e+13,1.92667e+12
1098,-6.35803e+13,1.05967e+13,-1.15706e+13,1.92843e+12
1099,-6.36962e+13,1.0616e+13,-1.15811e+13,1.93019e+12
1100,-6.38121e+13,1.06353e+13,-1.15917e+13,1.93194e+12
1101,-6.39281e+13,1.06547e+13,-1.16022e+13,1.9337e+12
1102,-6.40442e+13,1.0674e+13,-1.16127e+13,1.93546e+12
1103,-6.41605e+13,1.06934e+13,-1.16233e+13,1.93721e+12
1104,-6.42768e+13,1.07128e+13,-1.16338e+13,1.93897e+12
1105,-6.43932e+13,1.07322e+13,-1.16443e+13,1.94072e+12
1106,-6.45098e+13,1.07516e+13,-1.16549e+13,1.94248e+12
1107,-6.46264e+13,1.07711e+13,-1.16654e+13,1.94424e+12
1108,-6.47432e+13,1.07905e+13,-1.1676e+13,1.94599e+12
1109,-6.48601e+13,1.081e+13,-1.16865e+13,1.94775e+12
1110,-6.4977e+13,1.08295e+13,-1.1697e+13,1.94951e+12
1111,-6.50941e+13,1.0849e+13,-1.17076e+13,1.95126e+12
1112,-6.52113e+13,1.08685e+13,-1.17181e+13,1.95302e+12
1113,-6.53286e+13,1.08881e+13,-1.17286e+13,1.95477e+12
1114,-6.5446e+13,1.09077e+13,-1.17392e+13,1.95653e+12
1115,-6.55635e+13,1.09272e+13,-1.17497e+13,1.95829e+12
1116,-6.56811e+13,1.09468e+13,-1.17603e+13,1.96004e+12
1117,-6.57988e+13,1.09665e+13,-1.17708e+13,1.9618e+12
1118,-6.59166e+13,1.09861e+13,-1.17813e+13,1.96356e+12
1119,-6.60345e+13,1.10058e+13,-1.17919e+13,1.96531e+12
1120,-6.61525e+13,1.10254e+13,-1.18024e+13,1.96707e+12
1121,-6.62707e+13,1.10451e+13,-1.1813e+13,1.96883e+12
1122,-6.63889e+13,1.10648e+13,-1.18235e+13,1.97058e+12
1123,-6.65072e+13,1.10845e+13,-1.1834e+13,1.97234e+12
1124,-6.66257e+13,1.11043e+13,-1.18446e+13,1.97409e+12
1125,-6.67442e+13,1.1124e+13,-1.18551e+13,1.97585e+12
1126,-6.68629e+13,1.11438e+13,-1.18656e+13,1.97761e+12
1127,-6.69817e+13,1.11636e+13,-1.18762e+13,1.97936e+12
1128,-6.71005e+13,1.11834e+13,-1.18867e+13,1.98112e+12
1129,-6.72195e+13,1.12032e+13,-1.18973e+13,1.98288e+12
1130,-6.73386e+13,1.12231e+13,-1.19078e+13,1.98463e+12
1131,-6.74578e+13,1.1243e+13,-1.19183e+13,1.98639e+12
1132,-6.7577e+13,1.12628e+13,-1.19289e+13,1.98814e+12
1133,-6.76964e+13,1.12827e+13,-1.19394e+13,1.9899e+12
1134,-6.78159e+13,1.13027e+13,-1.19499e+13,1.99166e+12
1135,-6.79355e+13,1.13226e+13,-1.19605e+13,1.99341e+12
1136,-6.80553e+13,1.13425e+13,-1.1971e+13,1.99517e+12
1137,-6.81751e+13,1.13625e+13,-1.19816e+13,1.99693e+12
1138,-6.8295e+13,1.13825e+13,-1.19921e+13,1.99868e+12
1139,-6.8415e+13,1.14025e+13,-1.20026e+13,2.00044e+12
1140,-6.85351e+13,1.14225e+13,-1.20132e+13,2.0022e+12
1141,-6.86554e+13,1.14426e+13,-1.20237e+13,2.00395e+12
1142,-6.87757e+13,1.14626e+13,-1.20342e+13,2.00571e+12
1143,-6.88962e+13,1.14827e+13,-1.20448e+13,2.00746e+12
1144,-6.90167e+13,1.15028e+13,-1.20553e+13,2.00922e+12
1145,-6.91374e+13,1.15229e+13,-1.20659e+13,2.01098e+12
1146,-6.92582e+13,1.1543e+13,-1.20764e+13,2.01273e+12
1147,-6.9379e+13,1.15632e+13,-1.20869e+13,2.01449e+12
1148,-6.95e+13,1.15833e+13,-1.20975e+13,2.01625e+12
1149,-6.96211e+13,1.16035e+13,-1.2108e+13,2.018e+12
1150,-6.97423e+13,1.16237e+13,-1.21186e+13,2.01976e+12
1151,-6.98636e+13,1.16439e+13,-1.21291e+13,2.02151e+12
1152,-6.99849e+13,1.16642e+13,-1.21396e+13,2.02327e+12
1153,-7.01065e+13,1.16844e+13,-1.21502e+13,2.02503e+12
1154,-7.02281e+13,1.17047e+13,-1.21607e+13,2.02678e+12
1155,-7.03498e+13,1.1725e+13,-1.21712e+13,2.02854e+12
1156,-7.04716e+13,1.17453e+13,-1.21818e+13,2.0303e+12
1157,-7.05935e+13,1.17656e+13,-1.21923e+13,2.03205e+12
1158,-7.07155e+13,1.17859e+13,-1.22029e+13,2.03381e+12
1159,-7.08377e+13,1.18063e+13,-1.22134e+13,2.03557e+12
1160,-7.09599e+13,1.18267e+13,-1.22239e+13,2.03732e+12
1161,-7.10823e+13,1.1847e+13,-1.22345e+13,2.03908e+12
1162,-7.12047e+13,1.18675e+13,-1.2245e+13,2.04083e+12
1163,-7.13273e+13,1.18879e+13,-1.22555e+13,2.04259e+12
1164,-7.14499e+13,1.19083e+13,-1.22661e+13,2.04435e+12
1165,-7.15727e+13,1.19288e+13,-1.22766e+13,2.0461e+12
1166,-7.16956e+13,1.19493e+13,-1.22872e+13,2.04786e+12
1167,-7.18185e+13,1.19698e+13,-1.22977e+13,2.04962e+12
1168,-7.19416e+13,1.19903e+13,-1.23082e+13,2.05137e+12
1169,-7.20648e+13,1.20108e+13,-1.23188e+13,2.05313e+12
1170,-7.21881e+13,1.20314e+13,-1.23293e+13,2.05488e+12
